/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:302, loss:1.7021942138671875                                        
step:303, loss:1.8517003059387207                                        
step:304, loss:1.7404301166534424                                        
step:305, loss:1.7660439014434814                                        
step:306, loss:1.6389554738998413                                        
step:307, loss:1.7323682308197021                                        
step:308, loss:1.7595266103744507                                        
step:309, loss:1.9791282415390015                                        
step:310, loss:1.812841534614563                                       
step:311, loss:1.7984437942504883                                      
step:312, loss:1.648903489112854                                       
step:313, loss:1.825376033782959                                       
step:314, loss:1.8219819068908691                                      
step:315, loss:1.6315175294876099                                      
step:316, loss:1.6517119407653809                                      
step:317, loss:1.7944716215133667                                      
step:318, loss:1.5373988151550293                                      
step:319, loss:1.78022038936615                                        
step:320, loss:1.8682997226715088                                      
step:321, loss:1.8361389636993408                                      
step:322, loss:1.7769112586975098                                      
step:323, loss:1.7414695024490356                                      
step:324, loss:1.8484454154968262                                      
step:325, loss:1.788071632385254                                       
step:326, loss:1.8277727365493774                                      
step:327, loss:1.7973651885986328                                      
step:328, loss:1.7846558094024658                                      
step:329, loss:1.8314926624298096                                      
step:330, loss:1.8368446826934814                                      
step:331, loss:1.7243059873580933                                      
step:332, loss:1.7993077039718628                                      
step:333, loss:1.7702553272247314                                      
step:334, loss:1.752922534942627                                       
step:335, loss:1.6938199996948242                                      
step:336, loss:1.6919299364089966                                      
step:337, loss:1.7098796367645264                                      
step:338, loss:1.7814520597457886                                      
step:339, loss:1.7672460079193115                                      
step:340, loss:1.8170336484909058                                      
step:341, loss:1.6438997983932495                                      
step:342, loss:1.6277713775634766                                      
step:343, loss:1.819321632385254                                       
step:344, loss:1.7246813774108887                                      
step:345, loss:1.8809516429901123                                      
step:346, loss:1.8972138166427612                                      
step:347, loss:1.6540855169296265                                      
step:348, loss:1.8627078533172607                                      
 35%|███▍      | 349/1000 [30:55<19:50,  1.83s/it, step=348, loss=1.86]validation start
acc_./datasets/split2_primevul_cluster_choice/primevul_choice_train_choice.json: 0.49341687817258884
acc 0.2825983502538071
test start
acc_./datasets/split2_primevul_choice/primevul_choice_test.json: 0.48649148778682455
acc 0.27757216876387864
average testing 0.48649148778682455
average training 0.49341687817258884
step:349, loss:1.7257435321807861                                      
step:350, loss:1.7858593463897705                                         
step:351, loss:1.9537163972854614                                         
step:352, loss:1.650296926498413                                         
step:353, loss:1.8522570133209229                                        
step:354, loss:1.8073792457580566                                        
step:355, loss:1.6726590394973755                                        
step:356, loss:1.811230182647705                                         
step:357, loss:1.8934292793273926                                        
step:358, loss:1.791961431503296                                         
step:359, loss:1.723207950592041                                       
step:360, loss:1.760974645614624                                       
step:361, loss:1.8613908290863037                                      
step:362, loss:1.8641254901885986                                      
step:363, loss:1.8186699151992798                                      
step:364, loss:1.7466429471969604                                      
step:365, loss:1.712273120880127                                       
step:366, loss:1.8461905717849731                                      
step:367, loss:1.7018829584121704                                      
step:368, loss:1.692765712738037                                       
step:369, loss:1.8416476249694824                                      
step:370, loss:1.8170459270477295                                      
step:371, loss:1.615033745765686                                       
step:372, loss:1.798679232597351                                       
step:373, loss:1.7678518295288086                                      
step:374, loss:1.788041591644287                                       
step:375, loss:1.7159862518310547                                      
step:376, loss:1.7362163066864014                                      
step:377, loss:1.558786153793335                                       
step:378, loss:1.7797462940216064                                      
step:379, loss:1.7590844631195068                                      
step:380, loss:1.7879054546356201                                      
step:381, loss:1.8744399547576904                                      
step:382, loss:1.8011126518249512                                      
step:383, loss:1.6814652681350708                                      
step:384, loss:1.778306245803833                                       
step:385, loss:1.791129469871521                                       
