/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:446, loss:3.107816219329834                                       
step:447, loss:3.052642345428467                                       
step:448, loss:3.2979068756103516                                      
 45%|████▍     | 449/1000 [40:35<16:52,  1.84s/it, step=448, loss=3.3]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7209232231687168
acc 0.4986516497461929
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.729755741856347
acc 0.5072168763878608
average testing 0.729755741856347
average training 0.7209232231687168
step:449, loss:3.3590879440307617                                      
step:450, loss:3.237396240234375                                         
step:451, loss:3.3255221843719482                                        
step:452, loss:2.9602551460266113                                        
step:453, loss:3.2427845001220703                                        
step:454, loss:3.2091269493103027                                        
step:455, loss:3.211684465408325                                         
step:456, loss:3.2390966415405273                                        
step:457, loss:3.493685245513916                                         
step:458, loss:2.959700345993042                                         
step:459, loss:3.026674747467041                                       
step:460, loss:2.9350156784057617                                      
step:461, loss:3.012474775314331                                       
step:462, loss:3.149060010910034                                       
step:463, loss:3.1820220947265625                                      
step:464, loss:3.158708333969116                                       
step:465, loss:3.2760767936706543                                      
step:466, loss:2.936436653137207                                       
step:467, loss:2.838686943054199                                       
step:468, loss:2.856680393218994                                       
step:469, loss:3.2052526473999023                                      
step:470, loss:3.1523690223693848                                      
step:471, loss:3.1270899772644043                                      
step:472, loss:3.1850545406341553                                      
step:473, loss:3.3518240451812744                                      
step:474, loss:3.160318613052368                                       
step:475, loss:3.1259846687316895                                      
step:476, loss:2.8871116638183594                                      
step:477, loss:3.2967758178710938                                      
step:478, loss:3.1627349853515625                                      
step:479, loss:3.025425434112549                                       
step:480, loss:3.1175591945648193                                      
step:481, loss:3.094637155532837                                       
step:482, loss:3.1461400985717773                                      
step:483, loss:3.216805934906006                                       
step:484, loss:3.0831308364868164                                      
step:485, loss:3.108856678009033                                       
step:486, loss:3.1412811279296875                                      
step:487, loss:3.2849202156066895                                      
step:488, loss:3.098766803741455                                       
step:489, loss:3.2698538303375244                                      
step:490, loss:3.0313501358032227                                      
step:491, loss:2.8027772903442383                                      
step:492, loss:3.177928924560547                                       
step:493, loss:3.1710410118103027                                      
step:494, loss:3.0123789310455322                                      
step:495, loss:2.8875465393066406                                      
step:496, loss:3.016955614089966                                       
step:497, loss:2.9465980529785156                                      
step:498, loss:3.244070529937744                                       
 50%|████▉     | 499/1000 [45:28<15:13,  1.82s/it, step=498, loss=3.24]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7213515261103054
acc 0.48865799492385786
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.7299037791463201
acc 0.4966691339748335
average testing 0.7299037791463201
average training 0.7213515261103054
step:499, loss:3.485438585281372                                       
step:500, loss:3.2034192085266113                                        
step:501, loss:2.8393051624298096                                        
step:502, loss:3.2440786361694336                                        
step:503, loss:3.3539743423461914                                        
step:504, loss:2.947429656982422                                         
step:505, loss:3.2566466331481934                                        
step:506, loss:2.9532058238983154                                        
step:507, loss:3.1065845489501953                                        
step:508, loss:3.0283560752868652                                      
step:509, loss:3.021848201751709                                       
step:510, loss:3.0651111602783203                                      
step:511, loss:3.0716958045959473                                      
step:512, loss:3.1820602416992188                                      
step:513, loss:3.104055643081665                                       
step:514, loss:3.00053071975708                                       
step:515, loss:2.9202704429626465                                      
step:516, loss:3.0979607105255127                                      
step:517, loss:2.9348583221435547                                      
step:518, loss:3.1948609352111816                                      
step:519, loss:3.1233913898468018                                      
step:520, loss:2.8871469497680664                                      
step:521, loss:3.2295031547546387                                      
step:522, loss:3.0548605918884277                                      
step:523, loss:3.286121129989624                                       
step:524, loss:2.8066134452819824                                      
step:525, loss:3.0742387771606445                                      
step:526, loss:3.065621852874756                                       
step:527, loss:3.0126328468322754                                      
step:528, loss:3.2052230834960938                                      
step:529, loss:3.0314056873321533                                      
step:530, loss:2.8181040287017822                                      
step:531, loss:2.928295612335205                                       
step:532, loss:3.14353084564209                                        
step:533, loss:3.40800142288208                                        
step:534, loss:2.9230570793151855                                      
step:535, loss:3.1580662727355957                                      
step:536, loss:3.279571056365967                                       
step:537, loss:2.976815700531006                                       
step:538, loss:3.118661642074585                                       
step:539, loss:3.418677806854248                                       
step:540, loss:2.953068733215332                                       
step:541, loss:2.9546990394592285                                      
step:542, loss:3.169980049133301                                       
step:543, loss:3.2901105880737305                                      
step:544, loss:2.977825164794922                                       
step:545, loss:2.969421625137329                                       
step:546, loss:3.007321357727051                                       
step:547, loss:3.1750736236572266                                      
step:548, loss:3.0327835083007812                                      
 55%|█████▍    | 549/1000 [50:20<13:52,  1.85s/it, step=548, loss=3.03]validation start
